LCSC Part,First Category,Second Category,MFR.Part,Package,Solder JointManufacturer,Library Type,Description,Datasheet,Stock,Price
C1002,Bead/Filter/EMI Optimization,Ferrite Beads,GZ1608D601TF,0603,2Sunlord,base,450mΩ ±25% 600Ω@100MHz 0603  Ferrite Beads ROHS,https://datasheet.lcsc.com/lcsc/2109180930_Sunlord-GZ1608D601TF_C1002.pdf,348413,"20-180:0.004323944,200-780:0.003521127,1600-9580:0.002788732,800-1580:0.003070423,9600-19980:0.002563380,20000-:0.002436620"
C1015,Bead/Filter/EMI Optimization,Ferrite Beads,GZ2012D101TF,0805,2Sunlord,base,±25% 100Ω@100MHz 0805  Ferrite Beads ROHS,https://datasheet.lcsc.com/lcsc/2111221630_Sunlord-GZ2012D101TF_C1015.pdf,184331,"20-180:0.007605634,200-580:0.006140845,600-1580:0.005338028,19200-:0.004197183,9600-19180:0.004422535,1600-9580:0.004845070"
C1017,Bead/Filter/EMI Optimization,Ferrite Beads,GZ2012D601TF,0805,2Sunlord,base,300mΩ ±25% 600Ω@100MHz 0805  Ferrite Beads ROHS,https://datasheet.lcsc.com/lcsc/2109181830_Sunlord-GZ2012D601TF_C1017.pdf,203789,"20-180:0.008098592,200-580:0.006647887,19200-:0.004154930,600-1580:0.005830986,1600-9580:0.004802817,9600-19180:0.004380282"
C1034,Inductors/Coils/Transformers,Inductors (SMD),SDFL1608Q4R7KTF,0603,2Sunlord,base,15mA 4.7uH ±10% 2.1Ω 0603  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL1608Q4R7KTF_C1034.pdf,53683,"20-180:0.009070423,200-580:0.007352113,600-1580:0.006408451,19200-:0.005070423,9600-19180:0.005338028,1600-9580:0.005830986"
C1035,Inductors/Coils/Transformers,Inductors (SMD),SDFL1608S100KTF,0603,2Sunlord,base,3mA 10uH ±10% 1.85Ω 0603  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL1608S100KTF_C1035.pdf,149765,"20-180:0.009084507,200-580:0.007366197,600-1580:0.006408451,19200-:0.005084507,9600-19180:0.005352113,1600-9580:0.005845070"
C1042,Inductors/Coils/Transformers,Inductors (SMD),SDFL2012Q1R0KTF,0805,2Sunlord,base,50mA 1uH ±10% 400mΩ 0805  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL2012Q1R0KTF_C1042.pdf,23577,"10-90:0.013521127,100-290:0.010957746,300-790:0.009521127,9600-:0.007535211,4800-9590:0.007929577,800-4790:0.008676056"
C1043,Inductors/Coils/Transformers,Inductors (SMD),CMI201209U2R2KT,0805,2FH (Guangdong Fenghua Advanced Tech),base,50mA 2.2uH ±10% 600mΩ 0805  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2302231101_FH--Guangdong-Fenghua-Advanced-Tech-CMI201209U2R2KT_C1043.pdf,85575,"20-180:0.004718310,200-580:0.004718310,640-660:0.004619718,680-700:0.004619718,720-:0.004619718,600-620:0.004619718"
C1046,Inductors/Coils/Transformers,Inductors (SMD),SDFL2012S100KTF,0805,2Sunlord,base,15mA 10uH ±10% 1.15Ω 0805  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL2012S100KTF_C1046.pdf,92594,"10-90:0.014929577,100-290:0.012112676,300-790:0.010563380,9600-:0.008380282,4800-9590:0.008816901,800-4790:0.009619718"
C1049,Inductors/Coils/Transformers,Inductors (SMD),CMI321609U4R7KT,1206,2FH (Guangdong Fenghua Advanced Tech),base,25mA 4.7uH ±10% 650mΩ 1206  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2302231101_FH--Guangdong-Fenghua-Advanced-Tech-CMI321609U4R7KT_C1049.pdf,24009,"15-135:0.009478873,480-495:0.009295775,150-435:0.009478873,510-525:0.009295775,450-465:0.009295775,540-:0.009295775"
C1051,Inductors/Coils/Transformers,Inductors (SMD),CMI321609X100KT,1206,2FH (Guangdong Fenghua Advanced Tech),base,25mA 10uH ±10% 800mΩ 1206  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2302231101_FH--Guangdong-Fenghua-Advanced-Tech-CMI321609X100KT_C1051.pdf,86856,"150-435:0.010929577,450-1185:0.009436620,7200-14385:0.007394366,15-135:0.013591549,14400-:0.006971831,1200-7185:0.008154930"
C1523,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B102K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 1nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf,859421,"20-180:0.000833803,200-580:0.000663380,600-1980:0.000574648,2000-9980:0.000432394,10040-:0.000377465,10000-10020:0.000377465"
C1525,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL05B104KO5NNNC,0402,2Samsung Electro-Mechanics,base,16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf,8600525,"20-180:0.000805634,200-580:0.000611268,600-1980:0.000509859,2000-9980:0.000463380,10000-10020:0.000401408,10040-:0.000401408"
C1527,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B151K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 150pF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B151K500NT_C1527.pdf,62549,"200-580:0.000811268,2000-9980:0.000563380,20000-:0.000535211,10000-19980:0.000545070,20-180:0.000998592,600-1980:0.000676056"
C1530,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B221K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 220pF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B221K500NT_C1530.pdf,204102,"10040-:0.000433803,20-180:0.000821127,200-580:0.000639437,2000-9980:0.000491549,10000-10020:0.000433803,600-1980:0.000543662"
C1531,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B222K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 2.2nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B222K500NT_C1531.pdf,307777,"10040-:0.000391549,20-180:0.000814085,600-1980:0.000539437,200-580:0.000633803,2000-9980:0.000449296,10000-10020:0.000391549"
